Year,ElecEngland,ElecScotland,ElecWales,GasEngland,GasScotland,GasWales
2006,0.032503777121512215,0.028210890944633946,0.028210890944633946,0.02788395965319673,0.037733052206791726,0.037733052206791726
2007,0.03211409828495445,0.02693208726470797,0.022750125598575886,0.029067021661449692,0.028848234088573257,0.024049089466532735
2008,0.04272213933267143,0.03571852053895049,0.042852251934964336,0.038023799709221935,0.03403249576806727,0.04905823502563224
2009,0.0586815673231727,0.04436207719509485,0.05434425809871137,0.05248431201911552,0.04218086483835557,0.061057087225216584
2010,0.06709237588816994,0.046261850578238395,0.07096498088018867,0.06206331322406728,0.04426826138335142,0.08809223183556088
2011,0.08048944177990204,0.0651410126110077,0.08217337932913611,0.07625810935493109,0.06412217665088836,0.0877387878917045
2012,0.0896945745488591,0.07886746492585654,0.09457067234978689,0.08516651238864233,0.07032926366752436,0.0956342425679242
2013,0.09965619846047381,0.08693483373873959,0.10464727277903922,0.09328653996292695,0.07739695863327238,0.10462407518943682
2014,0.10947158406228966,0.09078854120813079,0.11265704143617901,0.1028998430167135,0.08363953466534085,0.1141854424494774
2015,0.13436479906619692,0.10622025951520826,0.13637247791569757,0.133143128985017,0.10636887981351814,0.1460779663568152
2016,0.16244402875676664,0.13090201826800524,0.1718463693679117,0.16203328143239445,0.1339446522328026,0.1888581059322627
2017,0.21966303697718564,0.18557090109090993,0.22652543323136148,0.20764708410857896,0.1864773548833601,0.23943573538291105
2018,0.24095986953044685,0.2147879051738774,0.2591378844531706,0.2434014761239667,0.21594380945642597,0.2773485254737917
