Year,Hydro,Wind,Wave / tidal,Solar PV,Bioenergy and Waste,Renewables,Nuclear,Low Carbon,Coal,Oil,Gas,Fossil Fuels,Pumped hydro,Other,Total
2004,0.001016709154259151,0.002872324825727735,NA,NA,0.02069557700566606,0.024584610985652948,0.18742385440691334,0.2120084653925663,0.3502175810101623,0.008652419895985877,0.4291215337012856,0.7879915346074338,0.005624922809555487,0.010927930750106252,1
2005,8.866553227300069e-4,0.0041369284159224326,NA,NA,0.025549680700394643,0.030573264439047076,0.1892477079522585,0.21982097239130557,0.3603018098454069,0.009213340011137086,0.41066387715168035,0.7801790273084592,0.006866678014590448,0.012725100110792253,1
2006,0.0010248268685216866,0.0058309846080530315,NA,NA,0.026029606677406777,0.032885418153981494,0.18709986655407285,0.21998528470805434,0.39171953882750393,0.011157588437827734,0.37713758772192546,0.7800147149872572,0.008129995740311188,0.01221405385830831,1
2007,0.0010627975625128792,0.006865455626786593,NA,NA,0.02523177027461242,0.033160023463911885,0.15222137519209422,0.1853813986560061,0.360258395731137,0.010030684943317375,0.4443295200701123,0.814618601343994,0.007975699661587362,0.010329301961281243,1
2008,0.0012817656138507858,0.009943578100593667,NA,NA,0.02638661227765867,0.03761195630152672,0.11609668126981766,0.1537086375713444,0.34235215691613996,0.01491752599936539,0.48902167889430304,0.846291362119232,0.00927507707117677,0.009800098685521596,1
2009,0.0010729022727872378,0.01248577435626605,0,1.7665751334165734e-6,0.029784035251879608,0.043344478456066315,0.16500074969583098,0.2083452281518973,0.28227349264658347,0.014443655851992324,0.4767555898030495,0.7734727383016253,0.008178090123930677,0.010003943422546659,1
2010,8.433757406644157e-4,0.014313647585158268,0,7.364426617238196e-5,0.032725110005541104,0.047955777597536164,0.14432314959817008,0.19227892719570625,0.281969260037447,0.010378329131626845,0.5002840752258493,0.7926316650110745,0.0073072188063456715,0.007782188986873597,1
2011,0.001109614281763583,0.02492654598380437,8.217246634811851e-8,7.564755195233675e-4,0.03868226828914929,0.06547498624670695,0.16851380784229497,0.23398879408900192,0.3125370968650748,0.006651551548319977,0.4302953918027031,0.7494840402160978,0.007445190051019751,0.00908197532036675,1
2012,0.001431065331158683,0.03433978435921786,4.3082133342241624e-7,0.0041858042222736565,0.04299822084376989,0.08295530525112627,0.17427212289872096,0.2572274281498472,0.4204884417237379,0.007046884451377765,0.2966568308947725,0.7241921573965154,0.007697696745338973,0.010882718034925529,1
2013,0.0010434572583184329,0.05345198924171041,6.104658590256913e-7,0.0063928250323265455,0.055781678567738364,0.11667056022979316,0.17516940014952037,0.29183996037931353,0.39281317698543855,0.004582173209667925,0.2919368254444071,0.6893321759756732,0.00767855924764773,0.011149304061205848,1
2014,0.0013456212672175508,0.06710414347658919,1.3670090699588414e-7,0.013795959041238804,0.07400669908683938,0.15625255992971332,0.16816239373895853,0.3244149536686719,0.3136723061108932,0.003658425008245242,0.3364014984589489,0.6537322292211659,0.008528095362895366,0.013324721747266878,1
2015,0.0016293089340474619,0.08801343075601731,0,0.026076056452498976,0.09729470599603841,0.21301350213860212,0.18861529226690404,0.4016287944055062,0.2348217534672394,0.003856487191344286,0.3359454198798539,0.5746236608971439,0.007951819794186746,0.015795724544456574,1
2016,0.001516140076047331,0.08093859749913142,0,0.035307346625904325,0.09742979841583144,0.2151918822651632,0.18324706632929053,0.39843894859445367,0.09398837447334094,0.004806824148184414,0.47704003990903154,0.5758352378270543,0.008700871864023114,0.017024941714469048,1
2017,0.0017738961774458122,0.1070441615430097,0,0.03927153506301972,0.10321372811182032,0.25130332089529556,0.18776952099762953,0.43907284189292506,0.07559795506008388,0.004009093321397004,0.4558045816275736,0.5354116300090545,0.008220838065273774,0.017294690032746522,1
2018,0.0015124542622267352,0.1268167017754253,0,0.04388434475744187,0.11693396863750485,0.2891474694325988,0.1871626356076353,0.4763101050402341,0.05637067993379318,0.004414697904443058,0.43746663513129747,0.4982520133332881,0.007437007403979236,0.018000874222498606,1
2019,0.0018337207753373456,0.14627428964676265,0,0.04502656940299798,0.12862310963906834,0.3217576894641663,0.1658397654901527,0.487597454954319,0.022813946622786532,0.0046950687840094105,0.45908025718662565,0.4865892729706916,0.005716465026226864,0.02009680704876245,1
2020,0.002112262382479832,0.19576085549188166,0,0.049958974022512134,0.14397748790168022,0.3918095797985538,0.14743683060628776,0.5392464104048416,0.017788828256396667,0.0039786452700651944,0.40688699085307495,0.4286544639802736,0.0045049257596228385,0.02759419985526195,1
