"EmissionYear","Domestic Transport","International Aviation and Shipping"
"1990",13.5655819009683,1.31288299675874
"1995",14.3508882638765,1.46093473202808
"1998",14.7595275572585,1.76008221298932
"1999",14.8588151660768,1.5922124558874
"2000",14.3132555827309,1.43971133256153
"2001",14.0137328306709,1.56027635870306
"2002",14.5284127615339,1.39910307742714
"2003",14.3570765947029,1.33705245563286
"2004",14.2660212987668,1.51276512418528
"2005",14.350041020209,1.62253384893706
"2006",14.236004577496,1.70821210295569
"2007",14.5043506097765,1.75848933524556
"2008",13.8595383460067,1.79147871448788
"2009",13.3106336626753,1.64333457387665
"2010",12.9167270286447,1.44405387333646
"2011",12.3094561301891,1.56668259592871
"2012",12.084193797186,1.47331835178
"2013",11.8747519106618,1.54625960791421
"2014",11.9153078669272,1.65893775571786
"2015",12.112086587821,1.72263622912703
"2016",12.3732333382134,1.83030539442868
"2017",12.5557126761562,1.94074990678642
"2018",12.3447749570367,1.91397190988251
"2019",12.0316566421926,1.91648494664427
"BaseYear",13.5655819009683,1.31288299675874
