"Year","Renewable","Gross Electricity Consumption","Target"
"2000",4972,40801,0.12185
"2001",4202,40446,0.1039015
"2002",5099,41619,0.122509
"2003",3724,41238,0.0903156
"2004",5832,41364,0.1409986
"2005",6486,41923,0.1547122
"2006",6956,41309,0.1683895
"2007",8003,40718,0.1965469
"2008",9058,41049,0.2206625
"2009",10582,38852,0.2723689
"2010",9420,39237,0.2400799
"2011",13868.8,37504.2277971238,0.369792975741887
"2012",14667.21,37453.9670499433,0.391606314504466
"2013",16989.64,38208.8650899803,0.444651783296628
"2014",19045.06,38228.1095296993,0.498195182401159
"2015",21742.83,36545.5617806993,0.594951313937196
"2016",19475.58,36291.9033312479,0.536637051582555
"2017",25301.38,35973.0444214467,0.703342750298765
"2018",26596.98,35253.1997873674,0.754455770268284
"2019",30174.84,34115.8485826864,0.884481590040636
"2020",32063.23,33418.9136843859,0.959433639968397
